row_i,rsrv_no,station_in,station_name_in,station_out,station_name_out,veh_type,veh_reg,veh_no,trip_duration,enrg_used,age_driver,id,gender,profes,time_rsrv,time_dep,time_pln_arr,time_in,time_out,lat_in,lng_in,lat_out,lng_out,commute,tempCelcius,rainfall-mm
0,USR-07592,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み417,417,7.6,93.9703,41,04343692752f80,female_女性,housewife_主婦,2016-05-31 17:00:00,2016-05-31 17:00:00,2016-05-31 18:00:00,2016-05-31 17:00:00,2016-05-31 18:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,27.4,0.0
1,USR-07497,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み430,430,7.56666666667,100.7424,41,04343692752f80,female_女性,housewife_主婦,2016-05-23 11:00:00,2016-05-23 11:00:00,2016-05-23 12:00:00,2016-05-23 12:00:00,2016-05-23 12:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,27.7,0.0
2,USR-07490,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み426,426,5.03333333333,111.5397,37,04a7be82973b80,female_女性,housewife_主婦,2016-05-22 08:00:00,2016-05-22 08:00:00,2016-05-22 08:00:00,2016-05-22 08:00:00,2016-05-22 08:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,21.8,0.0
3,USR-07479,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み417,417,5.48333333333,116.7219,37,04a7be82973b80,female_女性,housewife_主婦,2016-05-21 08:00:00,2016-05-21 08:00:00,2016-05-21 08:00:00,2016-05-21 08:00:00,2016-05-21 08:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,19.7,0.0
4,USR-07413,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み407,407,4.66666666667,112.3808,37,04a7be82973b80,female_女性,housewife_主婦,2016-05-15 08:00:00,2016-05-15 08:00:00,2016-05-15 08:00:00,2016-05-15 08:00:00,2016-05-15 08:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,20.7,0.0
5,USR-07211,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み416,416,9.75,95.6285,41,04343692752f80,female_女性,housewife_主婦,2016-04-24 14:00:00,2016-04-25 08:00:00,2016-04-25 09:00:00,2016-04-25 09:00:00,2016-04-25 09:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,23.1,0.0
6,USR-07212,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み415,415,218.716666667,862.1485,40,044da5928f3680,female_女性,office_worker_会社員,2016-04-24 14:00:00,2016-04-24 14:00:00,2016-04-24 19:00:00,2016-04-24 14:00:00,2016-04-24 18:00:00,34.95951,137.087292,34.95951,137.087292,errand,23.1,0.0
7,USR-06645,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み424,424,6.1,120.6789,36,04a7be82973b80,female_女性,housewife_主婦,2016-02-07 16:00:00,2016-02-07 16:00:00,2016-02-07 16:00:00,2016-02-07 16:00:00,2016-02-07 16:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,7.1,0.0
8,USR-06646,STN-00238,サークルK安城堀内店,STN-00198,安城市役所,P-COM,安城市0み423,423,11.8333333333,265.3877,55,042fb782973b81,,,2016-02-07 16:00:00,2016-02-08 08:00:00,2016-02-08 08:00:00,2016-02-08 08:00:00,2016-02-08 08:00:00,34.9320074,137.089064,34.95856945,137.0797999,commute,7.1,0.0
9,USR-06577,STN-00240,サークルK安城宮前店,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み405,405,12.5166666667,196.7099,28,0411be82973b80,male_男性,civil_servant_公務員,2016-01-26 18:00:00,2016-01-26 18:00:00,2016-01-26 19:00:00,2016-01-26 18:00:00,2016-01-26 18:00:00,34.9486365,137.0933813,34.95951,137.087292,commute,4.8,0.0
